,Model,Precision,Recall,F1-score,ROC-AUC
3,Gradient Boosting Classifier,0.5808080808080808,0.6777996070726916,0.6255666364460563,0.7763684122756728
2,Ada Boost Classifier,0.5006657789613849,0.7387033398821218,0.5968253968253968,0.775177887921975
1,Random Forest Classifier,0.6158301158301158,0.6267190569744597,0.6212268743914313,0.7633846414957683
0,Logistic Regression,0.3978260869565217,0.7190569744597249,0.5122463261021694,0.7204024199269996
